,reviewtext,reviewdate,reviewrating,reviewview,reviewlikes,Links,brand
62,"Good car with the best features within the budget. The interior and the seats of the car make it luxurious.
"," Dec 04, 2019  ",5, 49 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
63,"Nice design and engine are powerful and advanced. Speed and mileage are up to the mark. Available within the budget.
"," Dec 03, 2019  ",5, 52 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
64,"The best performance and unique look make it striking. The detailed review of this car can not be expressed in just a few words.
"," Dec 03, 2019  ",5, 32 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
65,"This is the best car in my budget as the features available are amazing including the interior and the exteriors.
"," Dec 04, 2019  ",5, 10 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
66,"Kia as soon as it landed in India came with a bang for the buck competing with its sister company Hyundai's Creta, the Jeep Compass and the MG Hector which again was recently launched. Seltos gave us a variety of features with 2 lineups total of 5 variants that can suit your choice and has premium features.
Read More"," Dec 03, 2019  ",5, 668 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
67,"A very nice car with bose speakers, which is not available in other cars in its segment. Worth buying it. This car is spacious, safe, powerful. This car comes with 6 airbags, sufficient boot space, and sunroof. Ambient mood lighting gives a luxurious and soothing experience.
Read More"," Dec 03, 2019  ",4, 467 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
68,"We brought the Kia Seltos HTK in petrol 2 months ago and the car is fabulous. You get all the features even in the base variant. You name it and its there. It has a 6 speaker JBL music system, an intelligent MID projector setup for both headlamps and foglamps. It is a very nice car and you should buy it instead of its rivals. However, spare parts a...Read More"," Dec 03, 2019  ",5, 527 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
69,"I felt very glad by its modern advanced technology and innovative design still, it's so smart due to Long-Durability, Safe, Secure and Lightweight. It's one of my favorite cars known for ""Kia Seltos"", we would feel simple by architecture style ever.
Read More"," Dec 03, 2019  ",5, 115 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
70,"Kia has debuted in the Indian car market by launching a great car Seltos. Though based upon Hyundai Creta, yet many steps ahead of the techology, comfort, styling ride and handling. I think mileage could be a negative aspect. Still, it's a great car.
Read More"," Dec 02, 2019  ",5, 264 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
71,"This car has a very comfortable sitting arrangement and a very good leg space.
"," Dec 03, 2019  ",5, 42 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
72,"To be very honest this SUV has a sporty look and as per the company, it has a thrilling design, including the interior. Highly recommended.
"," Dec 03, 2019  ",4, 53 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
73,"This car is delivering a very good performance. Great looks.
"," Dec 02, 2019  ",5, 36 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
74,"Fully loaded car with super new generation features and economically best for middle-class people.
"," Dec 02, 2019  ",5, 44 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
75,"A very comfortable and advanced feature, my friend bought this car and its superb car with great features. The engine is more powerful than my car. I like the sensors in this car.
Read More"," Dec 02, 2019  ",4, 125 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
76,"Kia Seltos became one of the best prime SUV cars of this era in India. The car has a best-finished premium looking with ultimate build quality till now in the Indian car market. In this price range, it gives many loaded features as follows: 

1. It has a 360-degree camera.

2. Both front and rear parking assistance are given.

3. Has an adequate bo...Read More"," Dec 02, 2019  ",5, 2173 Views,2,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
77,"I brought Seltos HTX one week back. This is my 6th car following Innova Crysta, XUV500, Duster, Honda City, and Dzire. I can safely say that this is the best overall car in this price range presently. This car is a near-perfect vehicle by many angles. Its design is fantastic, looks are fantastic, features are amazing, refinement is excellent, NVH l...Read More"," Dec 01, 2019  ",5, 3097 Views,4,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
78,"Its a nice car with great features, amazing headlight, suspension, nice pick-up.
"," Dec 01, 2019  ",5, 55 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
79,"I am feeling great with this car. It has a quite good handling, nice road grip, great stability, also great acceleration, and engine noise is quite low. Talking about interiors it's just wow. Lots of space, comfortable to sit, and love the driver's electronic adjustment. Don't have words about ventilated seats, and infotainment touch is a superb th...Read More"," Dec 02, 2019  ",5, 173 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
80,"Great car with looks, mileage, power, comfort, and ultimate driving pleasure. All in all an absolute value for money car.
"," Dec 02, 2019  ",5, 44 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
81,"The best thing about the car is the interior and exterior features. It is provided at such a reasonable price, and it is simply the best in its segment and it makes Seltos the best car.
Read More"," Dec 01, 2019  ",5, 34 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
82,"Kia Seltos can be called as a car of gadgets. It has a handful of features but only in GT line. For HT line it has only 2 airbags even for X Plus which is the diesel top-end model. It has 17inch diamond-cut alloy wheels, 8inch heads-up display, 360° camera, blind view monitor, red color brake caliper only for GT line X plus variant. In HT line K pl...Read More"," Dec 01, 2019  ",4, 157 Views,1,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
83,"It's the best car which I have ever seen and yes it is a new company, so some people might think to purchase it or not. My experience says that every guy must at least test drive it and I'm sure, once driven, will be bought for sure.
Read More"," Dec 01, 2019  ",5, 90 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
84,"It is the best car in segment, I love this car because of its features and engine in this car. You can also get heads up display of 8 inches which very convenient.
"," Dec 01, 2019  ",5, 35 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
85,"At such price, the number of features and BS6 refined engine, it's amazing.
"," Dec 01, 2019  ",5, 35 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
86,"Kia Seltos is the best segment car I have ever seen. This car is fantastic due to its features regarding safety, infotainment etc. This car is a budgeting car and easily affordable when compared with other cars from other companies. This car is a king of highways. So smooth to drive and easily controlled. This car breaking quality is unbelievable. ...Read More"," Nov 30, 2019  ",5, 733 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
87,"Nice car with all features. This car is very well designed and delivers a good performance. Build quality and interior is so good.
"," Nov 30, 2019  ",5, 30 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
88,"The best car in this segment. Never hesitated before buying this car. I just want to say go for it. If you still have doubt go and test drive it.
"," Nov 30, 2019  ",5, 36 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
89,"The excellent car, I have never seen any car with those features in India. It's a superb car at a low budget, I have never seen all the features in a low budget car. It felt like, I am using a luxury car like (Benz, BMW etc), ride quality is smooth which is of next level.
Read More"," Nov 29, 2019  ",5, 157 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
90,"This car is amazing as it has new amazing features and new driving options which makes this car best so far.
"," Nov 29, 2019  ",5, 40 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
91,"Kia Seltos is the best car in the 2019 car collection. This car is comfortable and featureful as compared to other cars.
"," Nov 30, 2019  ",5, 30 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
92,"The looks are amazing, and the design is excellent. The interior of the car makes it a true premium Car. The dashboard is fantastic, and the piano finish is so cool. The design of headlights and the music system's screen is so cool. I have no words to describe the Kia Seltos.
Read More"," Nov 30, 2019  ",5, 44 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
93,"Good quality interiors and shockers are so reflective even a large bump wouldn't make a difference. Good seating command and price is on the quite higher side.
"," Nov 30, 2019  ",4, 58 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
94,"Kia Seltos the amazing car or one can say the amazing SUV so far. Especially the interior of the leather side and leather seats are amazing. Chromium plating looks nice. Highly recommended. 
Read More"," Nov 29, 2019  ",5, 57 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
95,"Superb car and the red color is the best one. My SUV experience is far way better than Scorpio. I really like this car.
"," Nov 29, 2019  ",5, 38 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/4,Kia
96,"The perfect car for everyday use. It's not too big and not too small. A good car for a family getaway and can take long vacations also. The technology provided is mind-blowing and with this price point, it's a bargain. The best part of Seltos is that it can be selected from a wide range of variants which makes it easy for anyone who is looking into...Read More"," Nov 29, 2019  ",5, 1223 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
97,"It's a very good car, good to drive and has awesome segment-first features. Interior Plastic quality is good too. Ride quality below 60 is amazing it soaks almost all small patches of road, the cabin is quieter than most of the rivals plus to make cabin, even more, the better place they have provided with a proper air purifier which a good thing fo...Read More"," Nov 29, 2019  ",4, 1313 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
98,"Its too good compared to swift as well. Good in automatic transmission gives the best mileage.
"," Nov 29, 2019  ",5, 94 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
99,"It is a nice car as it has good features in it and suitable for people who go mountain trailing. I like this car as it has sunroof and moonroof. It is comfortable and spacious with good leg rest. The outer look is very classy, till I know Kia is good brand company and has a good impression in the market.
Read More"," Nov 29, 2019  ",5, 326 Views,1,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
100,"Best car in the segment. Quality level is superb. Standard features are available. Mobile connectivity improves the impression of the car. The instrument cluster is awesome. Air conditioning works well. A good amount of legroom offered. In every aspect it is superb.
Read More"," Nov 29, 2019  ",5, 132 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
101,"Superb car as it looks like Hulk. This can be at the top of the Indian market.
"," Nov 28, 2019  ",5, 44 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
102,"Kia has debuted in Indian car market by launching a great car. Though it is based upon Hyundai Creta. Yet many steps ahead of tech comfort styling ride and handling. Mileage is quite lesser still, it's an amazing car. 
Read More"," Nov 28, 2019  ",5, 174 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
103,"Great car with super engine with body quality & amazing features. Amazing colours with sporty look. Superb strong built quality.
"," Nov 29, 2019  ",5, 43 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
104,"The best petrol engine in this segment. It is a great pressure to ride this machine in it's 3rd and 4th gear. The performance is amazing and mileage may vary from 10-19 as per the driving style.
Read More"," Nov 29, 2019  ",5, 195 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
105,"I like Kia Seltos because its front and back side gives us an SUV feel and looks like a luxurious car. I love Kia Seltos more than MG Hector. 
"," Nov 29, 2019  ",5, 47 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
106,"The top model in the diesel engine is too amazing. Its too silent when the car is switched off or when it is turned on, it has very good sound quality, great boot space, amazing interior features, the feature of cooling, the rear seats is also great, back camera has superb quality, its very smooth no matter it is on which speed, the lights below th...Read More"," Nov 28, 2019  ",5, 110 Views,2,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
107,"It is an awesome car and cost-effective as well. All required features available. Best in design, big display and drive comfort. 
"," Nov 28, 2019  ",5, 43 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
108,"Kia Seltos is better than Hyundai Creta. Its stability is 10/10 and the built Quality is also 10/10.
"," Nov 28, 2019  ",5, 40 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
109,"Looks amazing and wonderful. I would highly recommend this to others as well.
"," Nov 28, 2019  ",4, 40 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
110,"Compact and everything at similar price initially. I was going to take Ford Ecosport but though to take this one and I think I took the right decision. 
"," Nov 28, 2019  ",5, 38 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
111,"Kia has debuted in the Indian car market by launching a great car Seltos though based upon Hyundai Creta. Yet many steps ahead of tech comfort styling ride and handling. Though I think mileage could be a negative side.
Read More"," Nov 28, 2019  ",5, 178 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
112,"The best segment with new technology. The best driving experience and looks are amazing.

 

 
"," Nov 28, 2019  ",5, 40 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
113,"Just an amazing car. I wanna say go for it. Looks are amazing and have brilliant interior and exterior design. It gives a luxurious feel.
"," Nov 28, 2019  ",5, 37 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
114,"I will give Kia Seltos 2 stars because of new generation technology. It still needs too many tests on the engine. Looks are good but the car is okay.
"," Nov 28, 2019  ",2, 42 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
115,"This is actually the best offering in the current price range. The range-topping GTX+ model which now also comes in both Petrol and Diesel comes with features that none of the vehicles in the current market offer. 6 Airbags are standard in the GTX+ models. The suspension might not be as good as the Harrier's, but then you forget what has the suspen...Read More"," Nov 28, 2019  ",4, 987 Views,1,https://www.cardekho.com/kia/seltos/user-reviews/5,Kia
